Class 6 ==> download: 38,  missing : 0
Class 27 ==> download: 50,  missing : 0
Class 8 ==> download: 317,  missing : 0
Class 3 ==> download: 481,  missing : 0
Class 12 ==> download: 779,  missing : 0
Class 17 ==> download: 985,  missing : 0
Class 13 ==> download: 1439,  missing : 0
Class 31 ==> download: 2002,  missing : 0
Class 29 ==> download: 1861,  missing : 0
Class 14 ==> download: 2179,  missing : 0
Class 9 ==> download: 2286,  missing : 0
Class 10 ==> download: 2260,  missing : 0
Class 32 ==> download: 2386,  missing : 0
Class 25 ==> download: 2552,  missing : 0
Class 18 ==> download: 2739,  missing : 0
Class 1 ==> download: 2999,  missing : 0
Class 23 ==> download: 2929,  missing : 0
Class 22 ==> download: 2985,  missing : 0
Class 21 ==> download: 2949,  missing : 0
Class 26 ==> download: 2956,  missing : 0
Class 19 ==> download: 2922,  missing : 0
Class 16 ==> download: 2780,  missing : 0
Class 7 ==> download: 2933,  missing : 0
Class 15 ==> download: 2993,  missing : 0
Class 28 ==> download: 2991,  missing : 0
Class 30 ==> download: 3000,  missing : 0
Class 4 ==> download: 2939,  missing : 0
Class 0 ==> download: 2990,  missing : 0
Class 20 ==> download: 2964,  missing : 0
Class 33 ==> download: 3000,  missing : 0
Class 2 ==> download: 2993,  missing : 0
Class 24 ==> download: 2988,  missing : 0
Class 5 ==> download: 2978,  missing : 0
Class 34 ==> download: 2999,  missing : 0
Class 11 ==> download: 2954,  missing : 0
